wav_file_path	model_no	image_file_path	label	score	start_time_sec	end_time_sec	start_time	end_time	min_frequency	max_frequency	box_x1	box_x2	box_y1	box_y2	sonobuoy_id	category
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB13\CC1904RL_DF_SB13_190405-150000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB13_190405-150000_second_840_to_900.png	40Hz	0.65	848.8086456298828	850.4854347229004	2019-04-05 15:14:08	2019-04-05 15:14:10	52	66	88.08645629882812	104.8543472290039	83.7027359008789	98.0438232421875	SB13	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB13\CC1904RL_DF_SB13_190405-150000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB13_190405-150000_second_840_to_900.png	40Hz	0.11	876.2970458984375	877.9208251953125	2019-04-05 15:14:36	2019-04-05 15:14:37	52	66	362.970458984375	379.208251953125	83.88893127441406	97.93397521972656	SB13	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB13\CC1904RL_DF_SB13_190405-150000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB13_190405-150000_second_1260_to_1320.png	40Hz	0.11	1279.750016784668	1281.317970275879	2019-04-05 15:21:19	2019-04-05 15:21:21	71	85	197.5001678466797	213.17970275878903	64.569091796875	78.52629089355469	SB13	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB13\CC1904RL_DF_SB13_190405-150000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB13_190405-150000_second_2160_to_2220.png	40Hz	0.25	2182.429153442383	2183.824488830566	2019-04-05 15:36:22	2019-04-05 15:36:23	51	67	224.29153442382807	238.2448883056641	82.9680404663086	98.9810791015625	SB13	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB19\CC1904RL_DF_SB19_190406-210000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB19_190406-210000_second_120_to_180.png	40Hz	0.41	137.5933059692383	139.2274398803711	2019-04-06 21:02:17	2019-04-06 21:02:19	50	66	175.9330596923828	192.2743988037109	84.16339874267578	99.80606079101562	SB19	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB21\CC1904RL_DF_SB21_190407-010121.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB21_190407-010121_second_2520_to_2580.png	40Hz	0.14	2536.0390914916998	2537.9356948852537	2019-04-07 01:43:37	2019-04-07 01:43:38	51	67	160.3909149169922	179.35694885253906	83.42677307128906	98.51499938964844	SB21	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB21\CC1904RL_DF_SB21_190407-020000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB21_190407-020000_second_2160_to_2220.png	40Hz	0.3	2196.5834869384767	2198.177947998047	2019-04-07 02:36:36	2019-04-07 02:36:38	52	67	365.8348693847656	381.7794799804688	83.26710510253906	98.19033813476562	SB21	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB21\CC1904RL_DF_SB21_190407-030000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB21_190407-030000_second_180_to_240.png	40Hz	0.26	187.5229522705078	189.3015594482422	2019-04-07 03:03:07	2019-04-07 03:03:09	54	67	75.22952270507812	93.01559448242188	82.82746887207031	96.09976959228516	SB21	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-173516.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-173516_second_480_to_540.png	D	0.1	489.8669174194336	492.1198829650879	2019-04-07 17:43:25	2019-04-07 17:43:28	27	68	98.66917419433594	121.1988296508789	82.22659301757812	122.62525939941406	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-180000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-180000_second_0_to_60.png	D	0.74	39.277740478515625	42.19063415527344	2019-04-07 18:00:39	2019-04-07 18:00:42	28	68	392.77740478515625	421.9063415527344	82.0932846069336	121.86711883544922	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-180000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-180000_second_180_to_240.png	D	0.14	221.46133117675785	223.99840698242187	2019-04-07 18:03:41	2019-04-07 18:03:43	29	67	414.6133117675781	439.9840698242188	83.00133514404297	121.31375122070312	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-180000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-180000_second_3060_to_3120.png	D	0.12	3114.318664550781	3116.9568054199217	2019-04-07 18:51:54	2019-04-07 18:51:56	30	67	543.1866455078125	569.5680541992188	83.27655792236328	119.8174285888672	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-180000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-180000_second_3180_to_3240.png	D	0.45	3209.144366455078	3211.548928833008	2019-04-07 18:53:29	2019-04-07 18:53:31	30	68	291.44366455078125	315.4892883300781	81.65766143798828	120.30875396728516	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-180000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-180000_second_3300_to_3360.png	D	0.36	3306.370574569702	3309.021131134033	2019-04-07 18:55:06	2019-04-07 18:55:09	32	67	63.70574569702149	90.21131134033205	82.94344329833984	117.6117935180664	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-180000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-180000_second_3360_to_3420.png	D	0.12	3393.2485168457038	3396.217031860352	2019-04-07 18:56:33	2019-04-07 18:56:36	30	63	332.48516845703125	362.1703186035156	86.72660064697266	119.70003509521484	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_0_to_60.png	D	0.11	38.587884521484376	41.72589721679688	2019-04-07 19:00:38	2019-04-07 19:00:41	34	79	385.87884521484375	417.2589721679688	71.27298736572266	116.26730346679688	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_360_to_420.png	D	0.17	396.04884033203126	398.80244140625	2019-04-07 19:06:36	2019-04-07 19:06:38	37	94	360.4884033203125	388.0244140625	56.49629211425781	113.0956039428711	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_420_to_480.png	D	0.39	426.8940742492676	429.6585174560547	2019-04-07 19:07:06	2019-04-07 19:07:09	46	94	68.94074249267578	96.58517456054688	55.801639556884766	103.93075561523438	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_720_to_780.png	D	0.11	724.6727264404296	727.2572448730468	2019-04-07 19:12:04	2019-04-07 19:12:07	44	87	46.72726440429688	72.57244873046875	63.31948852539063	106.4835433959961	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_1080_to_1140.png	D	0.18	1102.361228942871	1105.51141204834	2019-04-07 19:18:22	2019-04-07 19:18:25	41	84	223.6122894287109	255.11412048339844	66.36852264404297	108.65193176269533	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_1140_to_1200.png	D	0.56	1142.4959300994874	1145.1612762451173	2019-04-07 19:19:02	2019-04-07 19:19:05	32	72	24.959300994873047	51.61276245117188	77.57059478759766	118.38986206054688	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_1920_to_1980.png	D	0.1	1934.8744415283204	1937.8289672851563	2019-04-07 19:32:14	2019-04-07 19:32:17	48	91	148.74441528320312	178.2896728515625	59.18639373779297	102.33670043945312	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_3000_to_3060.png	D	0.13	3043.328970336914	3045.781857299805	2019-04-07 19:50:43	2019-04-07 19:50:45	32	68	433.2897033691406	457.8185729980469	82.4305419921875	118.0575942993164	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_3000_to_3060.png	D	0.43	3058.506066894531	3060.0456726074217	2019-04-07 19:50:58	2019-04-07 19:51:00	30	83	585.0606689453125	600.4567260742188	66.80451202392578	119.67232513427734	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_3060_to_3120.png	D	0.23	3091.0240783691406	3093.908038330078	2019-04-07 19:51:31	2019-04-07 19:51:33	33	71	310.24078369140625	339.08038330078125	79.36676788330078	116.94175720214844	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_3180_to_3240.png	D	0.58	3186.3862857818604	3189.471532440185	2019-04-07 19:53:06	2019-04-07 19:53:09	30	84	63.86285781860352	94.71532440185548	66.33299255371094	120.3056640625	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_3180_to_3240.png	D	0.11	3201.705903625488	3205.291394042969	2019-04-07 19:53:21	2019-04-07 19:53:25	34	86	217.0590362548828	252.9139404296875	63.853248596191406	115.65189361572266	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_3240_to_3300.png	D	0.18	3265.260453796386	3268.25055847168	2019-04-07 19:54:25	2019-04-07 19:54:28	32	80	252.6045379638672	282.5055847167969	69.89057159423828	118.02996826171876	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-190000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-190000_second_3240_to_3300.png	D	0.1	3297.555120849609	3299.833038330078	2019-04-07 19:54:57	2019-04-07 19:54:59	30	72	575.5512084960938	598.3303833007812	77.76851654052734	119.51038360595705	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-200000_second_720_to_780.png	D	0.81	775.039208984375	778.4922790527344	2019-04-07 20:12:55	2019-04-07 20:12:58	30	85	550.39208984375	584.9227905273438	64.5252685546875	120.0516357421875	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-200000_second_900_to_960.png	D	0.58	948.9887084960938	952.1346130371094	2019-04-07 20:15:48	2019-04-07 20:15:52	31	69	489.8870849609375	521.3461303710938	81.41378021240234	118.96726989746094	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-200000_second_1260_to_1320.png	D	0.17	1265.687084197998	1268.3186279296874	2019-04-07 20:21:05	2019-04-07 20:21:08	35	102	56.87084197998047	83.186279296875	47.54243087768555	115.31192779541016	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-200000_second_1260_to_1320.png	D	0.27	1272.3407386779786	1274.88585357666	2019-04-07 20:21:12	2019-04-07 20:21:14	49	90	123.40738677978516	148.85853576660156	59.715782165527344	101.40996551513672	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-200000_second_1440_to_1500.png	D	0.14	1484.941598510742	1487.7572448730468	2019-04-07 20:24:44	2019-04-07 20:24:47	31	67	449.4159851074219	477.5724487304688	82.56646728515625	118.82324981689452	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-200000_second_1440_to_1500.png	D	0.66	1496.5458740234376	1498.987530517578	2019-04-07 20:24:56	2019-04-07 20:24:58	29	68	565.458740234375	589.8753051757812	81.66231536865234	121.27861785888672	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-200000_second_1500_to_1560.png	D	0.67	1506.050275039673	1508.8314247131348	2019-04-07 20:25:06	2019-04-07 20:25:08	29	73	60.50275039672852	88.31424713134766	77.43363189697266	121.28800201416016	SB23	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-173516.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-173516_second_180_to_240.png	40Hz	0.1	216.3426940917969	219.2493469238281	2019-04-07 17:38:52	2019-04-07 17:38:55	51	86	363.4269409179688	392.4934692382813	64.26669311523438	98.76011657714844	SB23	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-173516.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-173516_second_600_to_660.png	40Hz	0.1	648.7075042724609	651.0720703125	2019-04-07 17:46:04	2019-04-07 17:46:07	52	67	487.0750427246094	510.720703125	83.24752044677734	98.21475219726562	SB23	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-173516.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-173516_second_660_to_720.png	40Hz	0.16	665.2932792663574	667.3562278747559	2019-04-07 17:46:21	2019-04-07 17:46:23	52	67	52.93279266357422	73.5622787475586	82.73041534423828	98.2091827392578	SB23	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB23\CC1904RL_DF_SB23_190407-173516.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB23_190407-173516_second_1140_to_1200.png	40Hz	0.17	1171.7158447265624	1173.762030029297	2019-04-07 17:54:47	2019-04-07 17:54:49	52	66	317.158447265625	337.62030029296875	83.52536010742188	98.02044677734376	SB23	20-40Hz
